_id,barcode,category,categoryCode,cpg,name,topBrand
{'$oid': '5a5d2431e4b06ba572cf24a1'},511111200246,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Revolver,
{'$oid': '57e5810ce4b0ac389136a307'},511111802280,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Keystone Light,False
{'$oid': '5332f5f2e4b03c9a25efd0ab'},511111604037,,,5332f5f3e4b03c9a25efd0ac,Our Family,
{'$oid': '5db9f9cca60b87376833e36b'},511111806226,Snacks,,5332f5f3e4b03c9a25efd0ae,Fruit Roll-Ups™,
{'$oid': '5fd2a0c0be37ce49eb72c0f4'},511111118169,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1607639232356,False
{'$oid': '5aa1b41de4b086c8aad5e096'},511111304265,Condiments & Sauces,,559c2234e4b06aca36af13c6,MOMOFUKU Sauce,False
{'$oid': '592486bee410d61fcea3d136'},511111500735,Frozen,,5332f5f6e4b03c9a25efd0b4,POPSICLE,False
{'$oid': '5332f603e4b03c9a25efd0be'},511111103936,Beverages,,5332f5fbe4b03c9a25efd0ba,Mug Root Beer,False
{'$oid': '5afda699e4b0c11cfecd49fd'},511111704584,Snacks,,5a734034e4b0d58f376be874,Tom's,False
{'$oid': '5fc54c0bbe37ce1911dbb3b5'},511111017899,Baking,BAKING,5fc54c0abe37ce1911dbb3b1,test brand @1606765579244,False
{'$oid': '5f358338be37ce443bf9d55b'},511111715320,Baking,BAKING,5f358338be37ce443bf9d557,test brand @1597342520305,
{'$oid': '592486bfe410d61fcea3d137'},511111000723,Dairy,,53e10d6368abd3c7065097cc,PROMISE,
{'$oid': '5a4d2295e4b0d5c3fd86b679'},511111200529,Snacks,,5332f5fbe4b03c9a25efd0ba,OFF THE EATEN PATH,
{'$oid': '5f628216be37ce78e6e2efaf'},511111116684,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1600291350125,
{'$oid': '5332f9fce4b03c9a25efd1cd'},511111003199,,,5332f5f2e4b03c9a25efd0aa,Honey Smacks,
{'$oid': '5f9770bfbe37ce03d08a2d85'},511111117070,Baking,BAKING,5f9770bfbe37ce03d08a2d83,test brand @1603760319758,
{'$oid': '57ebc293e4b0ac389136a345'},511111301974,Frozen,,559c2234e4b06aca36af13c6,Nancy's,False
{'$oid': '5f513e9ebe37ce21f1287c00'},511111816492,Baking,BAKING,5f513e9ebe37ce21f1287bff,test brand @1599159966676,
{'$oid': '5332f7b8e4b03c9a25efd145'},511111903413,,,5332f7a7e4b03c9a25efd134,Stella Artois,
{'$oid': '5ab153fee4b0915382df761e'},511111704379,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's Chunky Maxx,False
{'$oid': '5aa1b5b9e4b05a92fc9b1631'},511111004288,Condiments & Sauces,,559c2234e4b06aca36af13c6,FOOD NETWORK KITCHEN INSPIRATIONS,False
{'$oid': '5f3e9172be37ce5a0e01b954'},511111215547,Baking,BAKING,5f3e9172be37ce5a0e01b952,test brand @1597935986390,
{'$oid': '5f4936ddbe37ce52f8314fdc'},511111015970,Baking,BAKING,5f4936ddbe37ce52f8314fda,test brand @1598633693744,
{'$oid': '57c0829ce4b0718ff5fcb03a'},511111002437,,,5332f7a7e4b03c9a25efd134,Victoria,
{'$oid': '5a4d244ae4b0bcb2c74ea77f'},511111500506,Snacks,,5332f5fbe4b03c9a25efd0ba,SABRITAS,
{'$oid': '57ebbfa1e4b0ac389136a330'},511111702177,Beverages,,559c2234e4b06aca36af13c6,Gevalia,False
{'$oid': '5f43faabbe37ce3ef3fd3715'},511111115717,Baking,BAKING,5f43faabbe37ce3ef3fd3714,test brand @1598290603501,
{'$oid': '59d550f4e4b090070b009534'},511111600633,Dairy,,559c2234e4b06aca36af13c6,"O, That's Good!",False
{'$oid': '585a9645e4b03e62d1ce0e79'},511111801757,Snacks,,5332f5fbe4b03c9a25efd0ba,Chester's,True
{'$oid': '585a968ee4b03e62d1ce0e82'},511111101666,Snacks,,5332f5fbe4b03c9a25efd0ba,Miss Vickies,
{'$oid': '5d2f6b82a3a01810a2174aed'},511111704867,Condiments & Sauces,,5332f5f6e4b03c9a25efd0b4,SIR KENSINGTON'S,
{'$oid': '5fa98944be37ce239d1070fe'},511111217251,Baking,BAKING,5fa98944be37ce239d1070fd,test brand @1604946244133,False
{'$oid': '5332f9f2e4b03c9a25efd1c8'},511111803232,,,5332f5f2e4b03c9a25efd0aa,Crispix,
{'$oid': '55a41b55e4b0d0a65b3692ef'},511111502708,,,55a41b4be4b0d0a65b3692ee,NessAlla,
{'$oid': '5887a372e4b02187f85cdad9'},511111001119,Snacks,,5332f5fbe4b03c9a25efd0ba,Doritos,True
{'$oid': '57ed0697e4b072ac2294b8f2'},511111101895,Condiments & Sauces,,559c2234e4b06aca36af13c6,A.1.,True
{'$oid': '55b630c2e4b0d8e685c1421d'},511111002642,,,55b62995e4b0d8e685c14213,RC Cola,
{'$oid': '5332f605e4b03c9a25efd0c0'},511111403913,,,5332f5fbe4b03c9a25efd0ba,Amp,
{'$oid': '5f43faabbe37ce3ef3fd3716'},511111315728,Baking,BAKING,5f43faabbe37ce3ef3fd3714,test brand @1598290603587,
{'$oid': '5d66de49a3a018093ab3472a'},511111505433,Beverages,,5332f5fbe4b03c9a25efd0ba,Looza Fruit Juices,
{'$oid': '5da605dc1dda2c3e1416ae83'},511111005582,Health & Wellness,,5d9b4f591dda2c6225a284aa,Aleve®,
{'$oid': '5e3876bfee7f2d697e835bd3'},511111613961,Beauty,,5e28b81cee7f2d697e835bcd,Soft-Sheen Carson - Hair Color,
{'$oid': '5fa98945be37ce239d107104'},511111217305,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1604946245498,False
{'$oid': '57ebc11fe4b0ac389136a33a'},511111802075,Baking,,559c2234e4b06aca36af13c6,Kraft Caramels,False
{'$oid': '5f494c5f04db711dd8fe87e5'},511111716150,Baking,BAKING,5f494c5d04db711dd8fe87e2,test brand @1598639199117,
{'$oid': '5bd201a990fa074576779a19'},511111104698,Baby,,550b2565e4b001d5e9e4146f,Pull-Ups,False
{'$oid': '5fb2852cbe37ce522e165cb1'},511111417330,Baking,BAKING,5fb2852cbe37ce522e165cae,test brand @1605535020629,False
{'$oid': '5332f60ce4b03c9a25efd0c3'},511111303893,Beverages,,5332f5fbe4b03c9a25efd0ba,Brisk Iced Tea,False
{'$oid': '5a7e0604e4b0aedb3b84afd3'},511111504139,Beverages,,55b62995e4b0d8e685c14213,Chris Brand XYZ,
{'$oid': '5332f9f2e4b03c9a25efd1c7'},511111003243,,,5332f5f2e4b03c9a25efd0aa,All-Bran,
{'$oid': '57ebbd44e4b0ac389136a32d'},511111002208,Condiments & Sauces,,559c2234e4b06aca36af13c6,Bull's Eye,False
{'$oid': '592486bee410d61fcea3d12f'},511111600794,Frozen,,5332f5f6e4b03c9a25efd0b4,KLONDIKE,False
{'$oid': '592486bee410d61fcea3d12a'},511111600848,Frozen,,53e10d6368abd3c7065097cc,FRUTTARE,
{'$oid': '5da60576a60b87376833e349'},511111305569,Health & Wellness,,53e10d6368abd3c7065097cc,AFRIN® NO DRIP PUMP MISTS,
{'$oid': '5332f5f5e4b03c9a25efd0b0'},511111404002,,,5332f5f3e4b03c9a25efd0ae,Betty Crocker,
{'$oid': '580dff9fe4b0f32b2de21382'},511111701859,Baking,,559c2234e4b06aca36af13c6,Knox Gelatin,False
{'$oid': '5da608131dda2c3e1416ae8a'},511111505716,Health & Wellness,,53e10d6368abd3c7065097cc,Claritin® ADULTS,
{'$oid': '588b9f8fe4b02187f85cdada'},511111501107,Snacks,,559c2234e4b06aca36af13c6,Planters,False
{'$oid': '592486bde410d61fcea3d127'},511111800873,Personal Care,PERSONAL_CARE,5332f5f6e4b03c9a25efd0b4,DEGREE,False
{'$oid': '5a4d23dae4b0bcb2c74ea77e'},511111000518,Beverages,,5332f5fbe4b03c9a25efd0ba,Caleb's Kola,False
{'$oid': '5d66dc946d5f3b6188d4f04e'},511111305408,Beverages,,5332f5fbe4b03c9a25efd0ba,Lemon Lemon Sparkling Drinks,
{'$oid': '592486bfe410d61fcea3d140'},511111300656,Personal Care,PERSONAL_CARE,5332f5f6e4b03c9a25efd0b4,VASELINE,False
{'$oid': '5d658ff3a3a018514994f432'},511111005216,Magazines,,53e10d6368abd3c7065097cc,Cooking Light Magazine,
{'$oid': '5fcda494be37ce688e08b0cc'},511111817932,Baking,BAKING,5fcda494be37ce688e08b0cb,test brand @1607312532178,False
{'$oid': '5ef4f667be37ce2efae842ea'},511111715047,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5eebc5412455c97a877ef382,Pinesol,
{'$oid': '55b6308ee4b0d8e685c1421a'},511111202677,,,55b62995e4b0d8e685c14213,Snapple,
{'$oid': '5332f760e4b03c9a25efd11b'},511111603719,,,5332f5ebe4b03c9a25efd0a8,Honest Ade,
{'$oid': '5f16f536be37ce2b30061e29'},511111215103,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1595340086791,
{'$oid': '5d642dbfa3a018514994f42e'},511111005148,Magazines,,5d5d4fd16d5f3b23d1bc7905,Shape,
{'$oid': '5e3875d2ee7f2d697e835bce'},511111013914,Beauty,,5e28b81cee7f2d697e835bcd,Essie,
{'$oid': '5332f9f3e4b03c9a25efd1c9'},511111303220,,,5332f5f2e4b03c9a25efd0aa,Pop-tarts,
{'$oid': '5c45f91b87ff3552f950f027'},511111204923,Grocery,,5c45f8b087ff3552f950f026,Brand1,True
{'$oid': '58861c7d4e8d0d20bc42c4d6'},511111601449,Snacks,,559c2234e4b06aca36af13c6,Jell-O Refrigerated Pudding & Gelatin,False
{'$oid': '55b630fde4b0d8e685c14223'},511111502586,,,55b62995e4b0d8e685c14213,Diet Dr. Pepper,
{'$oid': '5ab158e8e4b0915382df7622'},511111404446,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's Well Yes!,False
{'$oid': '5fcda494be37ce688e08b0cf'},511111717966,Baking,BAKING,5fcda494be37ce688e08b0cb,test brand @1607312532304,False
{'$oid': '5f3ff222be37ce1c81aa1e0e'},511111215615,Baking,BAKING,5f3ff222be37ce1c81aa1e0c,test brand @1598026274643,
{'$oid': '5f772952be37ce6b592e90d2'},511111816775,Baking,BAKING,5f772951be37ce6b592e90d1,test brand @1601644881995,
{'$oid': '5fa1c568be37ce402c4618f6'},511111717249,Baking,BAKING,5fa1c568be37ce402c4618f5,test brand @1604437352935,False
{'$oid': '5fb82236be37ce522e165cdf'},511111217749,,,5fb6b608be37ce522e165cb9,Beef Steak,False
{'$oid': '5a02188be4b00d6a5ccb394d'},511111300588,Beauty,,5332f5f6e4b03c9a25efd0b4,POND'S,False
{'$oid': '5e387617ee7f2d697e835bd0'},511111713937,Beauty,,5e28b81cee7f2d697e835bcd,L’Oreal Paris - Cosmetics,
{'$oid': '57ebc2ace4b0ac389136a346'},511111801962,Deli,,559c2234e4b06aca36af13c6,P3,False
{'$oid': '5da6094ca60b87376833e357'},511111605829,Health & Wellness,,53e10d6368abd3c7065097cc,ONE A DAY® MENS,
{'$oid': '5f16f536be37ce2b30061e28'},511111615095,Baking,BAKING,5f16f535be37ce2b30061e24,test brand @1595340086078,
{'$oid': '5f872b84be37ce66db5dd97a'},511111917045,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1602694020787,
{'$oid': '585a9726e4b03e62d1ce0e95'},511111501497,Beverages,,53e10d6368abd3c7065097cc,Tazo,
{'$oid': '5f7ba645be37ce23081c528d'},511111516910,Baking,BAKING,5f7ba644be37ce23081c5289,test brand @1601939013649,
{'$oid': '5332f7d3e4b03c9a25efd14e'},511111803393,Snacks,,5332f5f2e4b03c9a25efd0aa,Cheez-It,
{'$oid': '5f504acabe37ce0b793c9418'},511111316480,Baking,BAKING,5f504acabe37ce0b793c9417,test brand @1599097546963,
{'$oid': '5afda3a8e4b03bf01c2a2967'},511111604525,Snacks,,5a734034e4b0d58f376be874,Snack Factory,False
{'$oid': '57c08294e4b0718ff5fcb039'},511111202448,,,5332f7a7e4b03c9a25efd134,Jupiler,
{'$oid': '5332f77ce4b03c9a25efd12a'},511111703617,,,5332f5f3e4b03c9a25efd0ae,Gardetto's,
{'$oid': '5332f9ede4b03c9a25efd1c2'},511111403289,,,5332f7ffe4b03c9a25efd16b,Danimals,
{'$oid': '58861c7e4e8d0d20bc42c4e2'},511111201403,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Miller 64,False
{'$oid': '592486bee410d61fcea3d12d'},511111700814,Dairy,,53e10d6368abd3c7065097cc,I CAN'T BELIEVE IT'S NOT BUTTER!,
{'$oid': '5da608dfa60b87376833e354'},511111805786,Health & Wellness,,53e10d6368abd3c7065097cc,ONE A DAY® ENERGY ,
{'$oid': '5ffe3a87be37ce7aab2d4fd9'},511111419532,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610496647142,False
{'$oid': '5ffe3a87be37ce7aab2d4fdb'},511111619543,Baking,BAKING,5ffe3a87be37ce7aab2d4fda,test brand @1610496647311,False
{'$oid': '5ffe3a86be37ce7aab2d4fd7'},511111719519,Baking,BAKING,5ffe3a85be37ce7aab2d4fd4,test brand @1610496646289,False
{'$oid': '5fff3a7abe37ce2bb793010e'},511111119555,Baking,BAKING,5fff3a7abe37ce2bb793010d,test brand @1610562170795,False
{'$oid': '5ffe3a86be37ce7aab2d4fd8'},511111919520,Baking,BAKING,5ffe3a85be37ce7aab2d4fd4,test brand @1610496646345,False
{'$oid': '5ffe3a86be37ce7aab2d4fd6'},511111219507,Baking,BAKING,5ffe3a85be37ce7aab2d4fd4,test brand @1610496646232,False
{'$oid': '5ffe35eabe37ce5e01754c47'},511111219385,Baking,BAKING,5ffe35eabe37ce5e01754c45,test brand @1610495466218,False
{'$oid': '5ffe347ebe37ce5e01754c3f'},511111119326,Baking,BAKING,5ffe347ebe37ce5e01754c3d,test brand @1610495102462,False
{'$oid': '5ffe35eabe37ce5e01754c48'},511111719397,Baking,BAKING,5ffe35eabe37ce5e01754c45,test brand @1610495466250,False
{'$oid': '57ebc28be4b0ac389136a344'},511111501985,Condiments & Sauces,,559c2234e4b06aca36af13c6,Miracle Whip,False
{'$oid': '58b59989e4b0857c2ddb7255'},511111400998,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Redd's Wicked,False
{'$oid': '5f403232be37ce5f78d9ed19'},511111015697,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1598042674173,
{'$oid': '5f493e72be37ce64d0ae36c4'},511111216094,Baking,BAKING,5f493e72be37ce64d0ae36c2,test brand @1598635634796,
{'$oid': '5a5d257fe4b06ba572cf24a3'},511111300212,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Sheaf Stout,
{'$oid': '585a963ce4b03e62d1ce0e78'},511111001768,Snacks,,5332f5fbe4b03c9a25efd0ba,Cheetos,True
{'$oid': '5fb82a68be37ce522e165ce6'},511111217817,Grocery,GROCERY,5fb6b608be37ce522e165cb9,Nature's Harvest,False
{'$oid': '5d6415d5a3a018514994f429'},511111605058,Magazines,,5d5d4fd16d5f3b23d1bc7905,Health Magazine,
{'$oid': '5332fa7ae4b03c9a25efd229'},511111402961,,,5332f5ebe4b03c9a25efd0a8,Fanta,
